,price
144091,984
121777,2035
156487,3897
52211,2346
145115,2726
160748,1899
158919,776
57114,15238
139541,791
80237,789
45906,1415
37059,6922
181856,15254
108184,459
119262,5332
58658,6632
78023,3175
33352,4347
161849,755
182489,612
153416,3733
118635,12547
77690,5021
180840,526
45768,4242
189311,811
15803,2513
37262,8005
123463,447
142927,746
156940,13846
175229,5722
157205,1343
188155,1799
2437,11255
62762,4498
86953,2630
151157,10052
187277,13453
161299,5620
61824,1433
74558,545
115234,578
107720,4125
79779,2405
112464,692
90954,2735
176914,689
42409,7055
5997,18398
114606,551
97815,2363
25154,3518
85108,5038
142225,694
82840,2376
13674,1443
12181,2218
44762,852
104928,1202
137814,6533
188531,734
144032,9376
99566,692
42365,2694
166276,896
37687,745
113404,4304
88975,10728
143454,3053
177654,5845
139092,1079
24461,1616
183455,5973
93626,1830
177729,6272
33372,1359
146571,1184
101585,3312
85828,1192
147274,998
32830,9581
87785,6334
74282,1257
142974,4746
152216,5686
30616,5679
12516,388
44602,1966
131694,5904
68155,878
29412,9425
176748,4311
166492,2565
186494,1184
147955,2290
93543,1843
2604,7526
28572,6482
135975,4355
129004,1044
98590,9279
153822,779
34893,851
91867,4580
13103,4759
151448,3450
173192,9734
85897,5145
19974,907
130889,489
167794,1621
162564,1220
148830,5540
182736,3601
10216,3858
44046,1024
185911,2110
178985,14199
37787,3629
140765,8576
67610,5543
88382,1175
187104,1111
68899,13012
84174,4740
29648,9660
113383,3432
48794,2657
27598,5967
149855,2125
170294,4044
139945,1911
73811,596
125252,3670
25898,4544
143767,4973
177363,1024
141184,15649
399,11003
155617,673
28051,13157
80050,6346
113150,789
82941,2729
155858,4081
101597,2117
50239,449
5823,2401
17380,802
37135,2158
126720,878
174838,6733
37157,1268
179970,681
46222,609
51914,6181
143896,755
86368,485
1146,3713
55252,394
116108,691
172211,3635
61100,9775
88052,6837
125708,3139
93614,5342
162740,1712
184447,3473
63660,3363
11415,10162
181720,2968
144920,2319
144173,2394
85113,906
85088,5430
1278,12810
96789,1186
9599,8888
16293,11175
137026,7983
43660,1187
95787,2329
115759,2347
41431,2393
100239,1389
165151,2138
79759,4540
145837,677
9212,13324
121667,1778
146995,1735
67588,1662
133101,567
43009,6361
42751,11147
184391,645
70260,8347
169691,3260
54541,655
169065,2438
109488,5018
10838,2359
163072,1121
43123,2755
56426,3520
42739,5259
84892,5445
84958,2644
162,15393
962,882
123715,4303
96876,830
145670,16170
61133,3507
143337,5147
186858,942
75232,11886
179548,1875
54392,1170
107972,5359
141175,1129
137663,1114
16479,2994
141489,1400
97350,518
9748,789
58292,4268
9063,4193
118227,593
74618,781
26722,1708
78153,2767
59646,863
26618,3521
48621,666
43958,490
87999,1193
175416,9664
143155,728
63106,7371
182673,1944
107351,847
8543,1053
95442,1367
51506,1243
16694,1890
7123,1178
40339,4580
63553,2873
126061,4119
90605,802
10667,1232
183643,4241
54466,14027
189281,16694
6144,2806
172971,933
74801,743
68583,6471
177753,13945
116453,1816
164820,1388
23414,5885
7316,2553
53872,1980
99598,4892
95664,1020
85114,3810
158419,537
107633,6737
5996,5055
33227,2572
76315,1050
119371,7416
117689,491
71808,4661
47508,10914
126860,1920
100096,911
5141,4666
53557,7869
132394,1624
106123,2815
38468,1255
137076,2302
180520,1024
82319,862
17296,530
15651,7357
68937,1624
53056,9576
140211,2199
38126,4412
114464,2196
167213,2426
111097,2212
14958,15769
14972,5832
134965,664
172551,6350
175265,14660
178308,1569
105533,815
454,868
157627,554
30002,3267
103966,15528
171489,12311
59368,4103
31876,4449
61731,4514
53676,2605
37320,629
55954,4665
161565,2792
68347,4320
127278,8364
106345,8996
138958,866
95870,3527
154356,1922
54668,17179
8930,876
121474,2351
9090,5220
149098,3209
146627,544
145748,660
43111,1624
79740,2246
54650,7384
145214,756
174449,3328
35430,12648
19205,2536
172282,964
184051,794
70091,1280
84941,6401
160009,1851
140478,3009
46172,13873
34823,5998
133430,3786
100377,3768
66319,544
64954,5430
23881,15488
150996,10255
7567,847
95469,631
13743,14383
52977,781
22339,1248
494,844
163176,791
135359,2811
93038,593
188868,7094
147244,1786
126012,3442
182399,1304
106508,3501
5140,9856
188985,3651
48642,4310
45422,3918
119535,579
183674,855
140259,1257
74166,561
16418,686
30537,485
70609,10577
187120,3444
120831,730
85497,684
188246,1337
12073,538
2514,16778
121893,537
80763,667
104345,544
140080,15288
100432,533
162703,2631
173583,1214
177251,945
189012,568
27919,8770
76334,1668
136411,2083
47076,2628
27373,1245
180266,6438
57426,1822
18028,945
191067,4484
139768,755
70445,1841
114318,2005
76677,6818
172266,935
41748,4872
22566,10340
87557,661
114551,1350
41828,5748
105965,3471
159130,872
37966,548
122122,2215
69429,2175
2520,685
176001,4072
66056,4158
115992,838
155018,6322
1157,16857
15035,4586
92977,6021
1624,630
111699,1436
117190,473
85394,535
154270,619
180991,2375
164470,1074
129276,15255
107618,593
171189,965
141627,1654
93592,1235
171255,846
33192,6704
19261,749
104081,6419
37778,17607
175005,4849
110667,4221
108980,6271
26034,692
102864,1240
92090,1056
106663,4234
114842,1949
46247,12182
186579,965
23034,1004
51687,6468
182543,3429
79605,2604
106277,1028
126841,3664
190910,2516
39089,1115
102923,6707
116146,2246
23487,3950
155923,617
95960,2695
124950,3139
37646,2189
145882,2426
158397,465
98378,788
155080,17892
27698,11427
169206,449
124756,9116
38545,2442
127007,1163
126573,953
152797,1263
139408,1827
102177,911
52549,5628
9411,1153
176319,740
80253,399
68616,9524
62763,6819
122938,1000
168643,5260
155549,1311
112127,4038
105934,6511
94352,3780
156060,1031
191887,6389
23640,3552
108032,3950
39397,5387
44224,1170
188617,6600
118335,6047
144662,4758
2227,9242
103132,9784
86801,2898
149647,3301
107650,2673
75390,536
17342,5277
164794,1646
104155,11409
79337,2231
39918,5071
49493,542
71560,2351
100074,3576
81659,709
146774,4412
6241,918
137977,6720
82684,6435
7229,16603
48551,1443
34968,646
40161,943
74925,572
101486,10824
93712,1806
39307,6121
18568,3183
176185,3350
103933,4428
163081,776
183545,1151
23080,6098
132931,2125
85700,1035
161557,1635
63653,774
133452,7230
146891,17667
192505,685
173649,796
80081,2059
120001,9935
126710,18791
141144,1250
145077,4482
160467,4678
69315,969
116715,6279
164152,2724
34876,16111
57007,1031
134893,630
158914,4144
49788,7503
47115,2967
58720,1952
81394,4790
155866,3864
56407,1551
59506,11867
133174,893
107299,760
165223,734
92912,5547
90913,5550
135568,661
101108,6132
128669,4511
45157,7877
67383,926
29876,3484
116885,378
63147,2351
154260,6935
13994,898
59505,12308
168821,10238
102259,544
144671,2142
44806,1436
97281,628
99896,473
2820,748
7365,2270
133819,854
1681,732
181579,7016
128615,2239
122464,2797
113910,2326
13488,2795
127908,11217
112705,1059
55236,473
5422,3299
120292,8959
114129,394
191557,2282
115789,4284
35563,961
157423,3145
136907,8674
11995,4284
131180,1076
97124,4281
86264,1187
138810,1927
132427,6169
165751,9968
76659,9698
141117,495
152607,6289
160246,13919
188396,2861
13264,1944
148939,2010
148905,1090
73909,4191
105778,394
7409,4477
50462,5864
73486,1869
36338,7588
140481,703
71701,15615
115493,3293
11382,4290
62155,394
130853,17224
80943,15785
162048,3998
4395,912
123789,990
164105,586
143010,440
22776,3053
153950,624
61985,461
78691,1621
54442,2159
5449,14451
6718,4909
53508,449
32044,3089
120861,1040
64764,505
143796,4194
165713,4351
25199,1052
153257,552
176769,675
132836,2061
77433,1630
163227,4925
80371,8470
41536,810
181552,4608
193454,3563
64319,1772
28973,1614
102026,9058
135138,1087
69012,2121
184165,3634
139087,6104
78742,4259
126906,714
123878,717
29009,571
33685,844
172843,6194
179543,10824
189884,526
165499,5330
160738,430
146277,4704
180021,4155
158224,605
21578,2719
96356,7356
133952,6018
174867,473
54724,10411
68586,580
37502,15032
82820,884
179840,3183
118656,6350
111000,3421
177084,2834
110928,554
98701,844
136056,571
135558,720
166430,1687
188949,4662
127329,6266
119290,464
124355,665
118784,1087
108681,4808
119366,6289
145346,449
20901,1605
168837,3726
14269,5047
137728,2344
146373,10736
23396,554
175468,3879
171465,2623
4664,565
99670,599
180990,3058
43607,526
751,4404
34444,1207
4166,4900
58244,2045
23754,767
142107,4798
112290,9067
117498,1939
75416,803
33891,842
33456,3299
93723,751
102313,4596
97319,2227
112064,11873
157352,8118
129904,579
11087,12631
137216,715
141187,7418
14483,4157
97471,999
73146,4959
78464,1963
21386,2346
115767,13337
170530,874
109691,506
188649,899
96287,3409
110959,3200
32115,956
129370,1622
164259,521
85403,776
57293,802
7347,7203
103474,2396
10299,11519
67456,1391
11703,810
62602,14948
44717,700
180216,2504
118694,462
187080,1807
169958,8662
88584,1550
100278,4072
15334,658
140442,2414
119994,612
165208,812
21442,1819
133747,10567
62177,6448
32503,2003
27604,8828
27787,961
192877,15695
40138,17103
180054,1240
61315,3703
56942,622
127008,526
77791,891
164261,6279
70907,802
13270,2981
19039,4007
126405,605
48988,1311
9202,658
139737,666
121815,2512
81146,1316
43596,4518
125575,7553
137607,1793
87615,4274
149933,1031
30560,1664
76569,6380
141761,2463
24710,6638
2907,4400
174501,675
157017,5758
40687,4167
137020,7619
184019,554
113932,4586
138551,565
125116,835
62476,2845
185242,734
165573,2616
178174,1654
95770,4643
111398,4652
23865,17186
26512,421
109668,428
174369,4081
74129,15335
118202,4078
87706,740
85346,9435
72826,12416
17776,10113
86376,819
4440,929
60770,2909
78293,12748
108948,2184
163133,8580
147418,9304
97224,579
89755,3798
175825,1124
175914,12308
142627,1359
127906,373
190230,942
94854,547
7200,2428
150919,17029
68318,3267
179502,969
83141,4014
43841,10082
3915,1443
45764,720
159948,1028
184148,14165
161104,1760
47775,1963
16512,6361
175214,7858
8994,895
173644,605
100941,3517
170716,779
168240,2463
83522,1213
137829,3185
162907,1221
148827,367
25879,16235
130900,1644
18558,14137
101557,1410
16793,2792
73668,4916
170387,552
147690,2199
167491,3836
116604,7441
58654,9389
122228,789
162756,6026
129176,2804
25288,2694
90911,3199
3536,789
44874,4785
103831,5461
69898,1145
174250,1974
67102,3179
45998,12737
114596,1546
48189,436
23796,776
13025,1787
115031,3208
23447,796
11680,730
145617,1822
85139,854
192136,6092
13819,548
184242,9596
47676,2306
123586,1263
169663,1116
122132,9550
77548,2677
19853,1668
101134,15983
136378,438
180985,3216
17250,5640
116155,4373
76542,2874
36518,2256
44996,1155
189895,6543
133310,2906
4066,9526
64810,2498
172496,5913
104595,16465
81067,1101
160879,2479
15851,15324
172609,968
81492,789
124470,4234
159864,1665
3000,8298
127964,7437
150312,1308
114299,5408
143623,5871
140962,4679
36433,10800
151573,1571
161717,7203
189208,4144
19687,4348
183304,1105
47868,4348
71548,2294
64911,2846
128777,1029
115772,7881
70569,4513
182046,11370
88488,1013
3033,6825
30705,4028
128853,7430
71984,928
62039,942
39725,2874
160951,13885
27463,2514
178232,7154
151287,6539
51379,1680
7239,1781
128360,562
184958,1286
145929,6905
82384,1048
31815,7731
32037,10951
139096,4234
170099,1822
79869,8319
167014,965
30624,1441
59926,878
132967,3304
42705,1197
105499,2150
11339,1749
135862,722
181491,7094
56767,3250
97982,4090
148562,2699
135778,3146
108749,13009
168318,1069
107763,8239
169286,737
111005,508
64872,999
13463,1170
46189,3950
99328,1015
54484,1304
177020,1046
30812,625
22023,593
162482,5055
178958,5018
118396,665
144193,17116
177533,453
8678,891
126522,1664
185506,3998
97877,5371
112734,2111
70368,1313
22070,1015
172798,16562
60343,577
75716,1153
38898,2010
57474,8090
24534,3357
114765,1727
174887,1046
154826,579
77258,492
38552,2705
76988,15426
10843,15993
128198,5924
149094,5190
10084,3692
120106,4637
97051,566
29753,4626
122190,3403
4723,729
119835,3294
185826,10880
124919,1286
123930,899
31155,998
42165,732
19394,447
124145,2513
17655,3856
150752,791
31179,4295
56089,878
64519,687
83453,1662
19518,6460
154500,4275
8118,4290
124732,6232
179514,3278
77628,4355
48204,4742
65269,4509
631,1406
58025,4892
92015,3371
359,3725
140831,5899
17968,3439
12517,9715
34616,2725
86960,7755
33679,1142
169095,1170
174403,861
152666,3920
123905,470
76113,803
166006,863
188862,12271
158203,878
56516,644
155669,2577
36711,4657
128071,3127
146542,988
139749,2559
120553,12156
107621,4235
28889,6429
151999,7636
214,16941
53665,1125
156279,1576
86592,17513
79977,1446
121073,2084
50726,2347
10443,3507
86678,17515
98126,1867
125161,7225
2510,5713
99649,12979
4087,1746
83658,2109
158730,7240
62441,708
7491,1446
7732,4211
89798,5769
11698,7644
115421,6957
30526,426
140241,7585
173660,11376
1427,2825
82345,475
58284,972
173295,4021
120743,1748
69851,466
86526,847
6111,2074
103466,2320
145514,15792
145623,2530
22509,1097
3821,780
172899,484
46933,698
153143,8954
38758,8583
83051,11168
124736,644
57591,1654
168743,792
16744,2381
126016,4360
117113,508
143934,842
81857,739
28814,492
181266,1668
120695,3220
79545,4162
179966,789
47425,8065
28378,5373
123291,5072
146319,4284
124456,566
64041,8818
20125,518
63640,6779
99358,625
16921,1125
189447,8456
147978,1208
72484,2125
122674,3196
74641,723
8268,3774
93183,8454
138865,1286
134291,7409
103544,1141
91866,8228
13572,612
108140,506
61029,967
40416,15451
159321,477
57961,430
49450,6750
38637,655
96679,6779
74934,976
51657,5373
117494,5200
1824,700
169680,669
132358,1745
65596,4584
43978,633
42216,4438
57374,1666
67426,666
111143,5105
30337,4158
49883,765
57862,1975
2255,7418
77620,1634
38223,4229
161161,992
27791,15446
63748,1952
135810,5712
75001,473
169790,12100
173960,5315
177569,552
124029,11431
141912,3794
56692,2642
32331,928
21156,993
37612,1133
157093,625
50876,992
72717,596
188111,4242
78478,1263
15595,589
39147,4463
108544,5816
60432,5373
124674,12979
54452,957
63141,1267
14845,14148
22295,9292
102164,15649
24665,3332
166902,4948
38695,505
189509,13289
162461,904
91700,1013
52288,548
72728,5798
120251,4586
79644,605
159878,1736
75331,10055
129258,10080
61376,2657
48310,594
181288,4900
68196,853
133198,1324
150335,6517
31413,10122
14149,653
184084,596
84803,1237
11472,787
31249,6416
156893,4260
172885,819
121475,8904
74996,1151
86761,7079
28252,641
175573,2723
152600,7811
95073,462
18126,5831
158816,710
81510,1950
95693,9484
122859,2302
189984,3780
96661,961
2901,6666
164129,5383
113033,1115
92168,4050
80450,561
115009,844
92331,882
90953,6509
165629,7168
37498,589
103147,3991
82997,544
181029,8223
17065,3625
109139,1870
154621,756
127559,11588
13031,926
97454,1088
179296,4256
36154,1115
89334,2655
32843,1050
83692,4281
42669,4355
61131,2459
188577,1436
36048,2005
106765,1100
49169,9343
189717,644
151422,5960
132225,9012
168959,6509
70754,4907
3510,1024
135391,802
160597,450
33122,3030
55385,6573
50267,5923
146760,844
166838,3763
186372,2875
168705,1569
5328,4704
14784,10635
131929,956
32055,776
145716,4086
35602,6116
87836,1000
171443,1815
65273,633
52064,947
69011,2147
86773,6499
31481,4371
192808,810
20384,12648
97598,3990
38976,5285
104260,1046
115922,3754
88056,3880
79573,906
183317,6288
43974,803
147757,2749
60517,493
121511,3066
69772,1625
131927,7148
12060,1574
174883,1263
62207,4940
99269,983
90781,9505
165652,2475
161226,642
147571,11666
153316,2892
66190,12111
188572,2255
43272,12918
8248,2306
36014,1368
5300,541
24151,2441
49516,3087
105103,1116
189566,18318
71985,1565
79039,842
37843,1819
24501,3412
68239,5197
101745,4958
187158,595
125450,776
59260,3276
17284,10284
144349,8575
55792,5310
48100,523
54487,561
45835,722
148513,15804
118329,471
168936,7419
492,1345
121723,2333
190987,789
99434,12210
76838,945
94419,2289
16476,524
46609,4309
121527,537
151771,486
58901,5217
46690,8580
160684,3353
144079,702
52742,791
74970,1113
45964,6368
192490,13445
175983,2316
55017,1041
39839,1151
68663,2009
4212,2891
114877,626
161489,764
176962,9876
159166,14801
155496,5975
86999,1294
111275,616
117642,638
25529,765
133924,1227
121138,878
101433,1626
168874,722
8725,810
171254,4838
4524,391
25311,3704
90174,3774
175617,5175
30742,2393
69030,2277
178983,957
49265,1592
116432,689
128796,1572
161920,3674
149742,1821
191288,2832
104716,394
85528,9738
140016,4022
136309,3409
71465,5102
4862,983
166682,755
127239,890
112815,3273
186342,2666
178568,1260
95358,12500
163007,2488
46657,607
22389,979
82457,1408
5385,4068
139818,6740
66158,723
154968,1240
4306,552
177543,847
181870,3185
88418,1428
151463,5152
9112,1630
6967,2203
116296,640
126572,843
157554,5120
107125,2137
2371,758
26986,11635
192146,5197
90556,2338
11463,13135
57610,15239
116291,591
24348,877
77146,1345
66979,2748
84835,4150
136223,495
130212,4872
98409,1180
44923,4679
113941,2512
79356,3749
34234,5152
148887,14482
63824,12175
140137,2428
93404,11147
182712,1294
89746,18766
77367,5243
182630,1453
18789,1827
133093,5261
65494,5012
99020,1332
98795,1155
13061,4987
192685,6300
43795,3730
42917,810
18182,4166
35277,7372
164504,3478
128903,2631
171553,8149
124667,928
133626,13903
91705,2512
161924,1648
103296,746
149506,554
133252,1044
19467,1176
37590,1827
92974,945
93174,3192
127575,8797
2735,2509
3030,6095
180093,3130
176690,872
107162,1390
96315,1364
8713,2294
97770,1763
175461,997
77499,2367
115753,4150
128374,4679
6008,3544
163179,4511
70812,14308
22637,6319
21985,608
14513,3792
169918,596
6524,524
135003,521
724,15498
163873,625
164565,4295
86085,1260
72761,1008
88256,15254
10202,1342
133432,5551
48697,4449
170166,374
52062,723
186503,1654
27367,738
141562,1132
139480,1374
140806,6113
109685,11251
114802,1819
34106,4153
24961,4733
142640,2078
101518,2474
46658,5090
185859,4191
100204,5331
11620,1588
38882,5300
22453,5078
70193,1013
166142,10342
15343,7691
1685,787
103251,2150
134922,979
16855,5510
156209,14502
128000,877
108356,5082
185770,4679
131386,911
125002,982
165407,791
156797,13194
179189,3468
187192,1010
58750,1165
79097,696
126759,11508
135663,5975
52735,2304
148529,16339
110977,14065
114030,4435
158976,1593
184547,752
79076,5236
48711,570
43464,4877
54166,3093
168320,1111
54942,6412
26683,534
78731,705
96280,374
15500,1115
78522,2385
123214,1327
27513,6657
168174,3816
50801,4404
115300,2688
62932,626
165217,574
58253,1250
159512,5531
81961,5260
158092,3535
16431,2058
188222,3669
67817,7204
53023,4194
141364,770
140728,3516
41353,682
97376,595
96432,602
24554,2905
59519,1695
165515,11948
124384,900
21738,1014
51829,558
114681,4890
104272,504
109937,2756
59241,8305
82814,630
37984,6182
110412,886
41378,6446
61211,1024
152730,3163
151338,710
146990,605
18041,3974
140458,434
115732,10182
160089,1723
173151,16575
71232,599
35834,3832
65973,3756
70608,8239
34220,805
182445,9090
185767,737
3737,625
150140,706
5899,1769
120393,15072
56848,8149
153274,4510
192651,2167
73171,9598
164868,1425
42254,2670
151709,14348
192701,718
125029,10804
65598,3818
137634,5224
167294,2025
143332,3360
191857,755
23375,692
78173,4668
20777,882
64118,3007
100,11234
156581,3801
100329,878
173176,6416
121038,745
138726,2779
124821,1262
126382,4382
26973,1263
184498,11713
93208,5645
187065,1605
113908,1053
114739,507
130220,2489
184793,2503
182138,803
8822,4442
60557,3124
178246,15193
159622,5876
26677,10367
98460,693
177060,945
107360,2394
147954,3070
126268,4395
125273,1768
191444,6282
70884,4939
122946,683
12690,3342
181253,670
102527,3548
30460,764
5645,1180
167259,1168
37277,899
14046,10671
31039,4382
127063,7229
61456,566
89580,1637
14430,10808
23288,462
85522,844
61424,4864
100443,3004
105641,2505
109569,6762
186631,1835
168401,4256
180469,3249
22686,2570
105038,12840
77881,1079
108533,837
176963,932
114810,6831
142607,8233
138671,1154
181837,695
130187,814
90639,1429
29348,10835
53630,990
173267,2381
151404,4631
190762,1637
190781,1045
115102,626
49748,906
22402,8415
148589,5351
92219,1033
146208,6480
103728,1966
38364,9925
84208,6401
7057,2886
160231,3084
162784,7637
85560,11649
44311,4327
137234,5269
123170,814
117735,11572
80336,1013
26750,386
97906,789
51896,5078
32032,645
159392,17761
160242,935
133862,766
126790,6957
153351,986
41165,4002
1641,2211
126231,2117
72698,1656
116956,5197
29988,4078
156864,16407
106817,827
177249,4197
188432,687
180936,5947
178789,2551
99098,6425
176021,1999
1709,2805
184950,4685
53330,1054
162068,4773
135596,3769
73410,932
54124,9386
64015,1170
170519,2525
139766,8025
70389,7819
73966,728
31594,7177
61990,954
128606,3750
17541,18507
182263,5327
71435,2092
184654,626
169954,16582
84734,3419
71822,5154
180356,833
73151,2428
122100,5149
132608,684
160876,7294
67084,1221
28825,15544
177785,642
184154,608
112041,559
21690,6073
15508,1952
1374,952
51565,2164
72071,7903
56545,5701
26132,7418
86051,5627
67257,7602
79867,816
189987,3354
78846,3844
12883,3756
132570,1745
61499,756
77371,2024
82321,3338
37720,2948
167878,1194
22145,7372
11854,3811
75350,17258
72126,2347
107664,4523
126904,11322
193565,732
49042,1949
141672,433
38742,2010
191599,1836
158773,880
179031,693
45691,776
23475,7090
126903,882
151833,4558
131489,1970
142476,5767
94082,5765
164751,1207
116283,1928
55986,1583
62834,661
153571,1613
45048,1781
64562,2496
138404,5290
143034,1583
16290,9900
109812,3428
151368,873
65525,3519
67709,1356
31450,5036
76581,5001
86860,2347
51240,8025
92832,8608
153118,2586
110807,1035
130380,408
131006,1443
103103,5839
23436,6398
16215,1611
110855,6580
62181,1202
112694,3415
48090,3351
120793,730
110961,4338
28989,10512
164908,698
26630,802
75083,1238
59324,12958
12674,8062
178537,2690
94367,521
104274,700
179509,789
82659,1316
158709,3819
128346,1016
48385,6846
62505,830
186718,2648
65083,802
2873,729
31794,15145
75690,1129
166151,2316
55990,7319
101020,2822
109799,645
128018,1034
95842,13194
137494,1583
140456,1436
94688,2875
153409,6670
133564,5758
77388,1847
67832,525
75796,2184
35298,5469
53151,741
175204,4531
53159,720
131758,1165
110781,630
174552,1998
182817,3258
51212,702
78220,770
164877,766
165799,3349
67680,5198
183204,5494
6453,552
35647,3950
65961,698
178745,17312
78715,15338
94880,5491
4519,1151
150187,4008
146152,4851
115602,489
82097,4077
192342,544
58837,2101
64410,1580
109529,665
95121,2243
28781,14341
77905,571
84223,827
130715,15696
73604,3662
127988,1946
84746,745
104731,1974
84902,898
153721,4397
35756,2882
7335,2889
46439,2292
13471,4940
179673,1013
161886,2756
42054,1612
58140,1050
19380,12576
70012,1243
13420,1088
177981,403
189434,1550
7743,393
180322,3090
125698,17955
4498,4466
161111,1230
122385,823
140737,3775
183382,10312
131366,5902
166666,5649
93512,1374
33326,876
79989,645
72947,526
167427,13872
124979,9188
153600,1388
60625,477
80213,1300
180968,1186
7379,4341
68502,3567
159164,12048
185064,4521
106089,4581
179012,1637
31400,10769
74509,912
31177,15306
67305,933
44212,4539
42631,8124
190384,707
63514,15214
144196,2668
83078,4234
143968,814
104264,6480
74015,1306
182071,5331
99158,554
52427,1676
65374,858
186097,12674
74030,2826
126729,11946
95008,10642
24360,2096
73318,666
22608,505
11979,11226
76108,2302
57288,14281
103237,552
24058,5335
133194,4005
108398,2870
176333,3776
90660,1068
175651,1069
189374,756
61795,5841
45063,12530
81068,770
57723,1943
155778,1029
179877,1831
193319,1808
104670,983
3585,732
98981,7485
60062,1820
181570,1375
161594,1008
174850,526
113524,2484
2982,6841
71223,2140
136286,18532
48036,6095
128115,11756
1904,6682
12730,863
29860,561
23260,3446
151057,579
136290,2535
133306,698
152696,12987
142629,8471
142299,2116
13775,4429
76081,1056
134958,862
43992,579
182669,6232
75291,2908
49854,2484
174144,802
23904,2587
159122,2305
51041,886
59619,824
72648,512
158784,16506
116319,4390
66073,3906
103607,1908
77460,487
173745,2919
5679,872
107401,620
168909,4440
18239,472
149276,1074
31265,1395
22904,663
152358,7287
153509,1613
57485,947
187690,6619
8991,6132
41415,2551
168364,10012
87769,581
105125,1688
29976,9092
73426,9055
106870,1040
66532,1378
148200,605
53404,682
49862,13135
55704,1439
171344,1046
70933,499
10218,574
167958,9030
100226,7729
171801,7577
183686,13777
152296,1814
96403,997
19547,16256
69060,499
38431,3090
36566,645
162880,4715
63481,4851
178177,1405
134688,625
59028,886
147943,6684
114967,3606
5120,1323
175290,917
33664,9407
25665,1079
13382,4936
67684,984
78470,2805
26580,1431
170254,2553
133165,828
102143,1041
91723,789
181734,5058
130362,1076
110731,4844
106104,2768
137319,2840
106115,1087
34468,7154
30747,918
18748,10171
14654,1004
150903,2748
111121,3043
86563,1087
36790,17343
